pair_number,left_group,right_group,same_group,same_family,same_formula,mean_score_correlation,median_date_score_correlation,mean_top_jaccard,mean_bottom_jaccard,complete_correlation_dates
3751,Accounting,Price,False,False,False,0.04574115,0.054239467,0.13421418,0.13712314,91
3752,Accounting,Price,False,False,False,0.0051274053,0.00011810446,0.12216805,0.13507387,91
3753,Accounting,Price,False,False,False,-0.016377112,-0.019288447,0.122767985,0.12636408,91
3754,Accounting,Price,False,False,False,-0.011298598,-0.008228601,0.10730702,0.1305166,91
3755,Accounting,Price,False,False,False,-0.0083376225,-0.0027101259,0.122868404,0.119700305,91
3756,Accounting,Price,False,False,False,0.0019157828,0.003253525,0.12800579,0.124138385,91
3757,Accounting,Price,False,False,False,0.0014373583,0.0006518016,0.11593955,0.11554841,91
3758,Accounting,Price,False,False,False,0.009847204,0.013706956,0.12610486,0.12302084,91
3759,Accounting,Price,False,False,False,0.070612736,0.08187479,0.12943058,0.1397218,91
3760,Accounting,Price,False,False,False,-0.08169206,-0.08483205,0.10962252,0.101597086,91
3761,Accounting,Accounting,True,False,False,-0.00037710628,0.0033192227,0.12689936,0.12364292,91
3762,Accounting,Accounting,True,False,False,-0.017365012,-0.013009537,0.07958122,0.06749735,91
3763,Accounting,Accounting,True,False,False,0.039666623,0.04367756,0.14031537,0.12396792,91
3764,Accounting,Accounting,True,False,False,0.1116275,0.111803286,0.11592827,0.09482293,91
3765,Accounting,Accounting,True,False,False,0.095174424,0.10765913,0.12476664,0.1767329,91
3766,Accounting,Accounting,True,False,False,0.10134459,0.108966246,0.12426271,0.17727764,91
3767,Accounting,Accounting,True,False,False,-0.026685469,-0.030365165,0.09246714,0.13461691,91
3768,Accounting,Accounting,True,False,False,-0.1099897,-0.112245984,0.049755394,0.12014776,91
3769,Accounting,Accounting,True,False,False,-0.03390655,-0.03354279,0.09456057,0.11004973,91
3770,Accounting,Accounting,True,False,False,-0.020553876,-0.024056634,0.12586759,0.10965968,91
3771,Accounting,Accounting,True,False,False,-0.014435678,-0.017548462,0.12578854,0.114077985,91
3772,Accounting,Price,False,False,False,0.080727614,0.06864153,0.17192188,0.109327726,91
3773,Accounting,Price,False,False,False,0.0033504115,0.0036262923,0.11232855,0.10973149,91
3774,Accounting,Price,False,False,False,0.0005351955,-0.0013650293,0.09898634,0.10407691,91
3775,Accounting,Price,False,False,False,0.0004954818,-0.00046120776,0.095689185,0.1018537,91
3776,Accounting,Accounting,True,False,False,0.27059934,0.26154628,0.21855335,0.17957266,91
3777,Accounting,Accounting,True,False,False,0.022718856,0.0070079933,0.10806321,0.08559672,91
3778,Accounting,Event,False,False,False,0.0001969619,0.0033185584,0.0,0.0058372854,87
3779,Accounting,Accounting,True,False,False,0.019860338,-0.0014771911,0.105975926,0.022965694,91
3780,Accounting,Price,False,False,False,-0.045503877,-0.030825734,0.0844988,0.13186139,91
3781,Accounting,Price,False,False,False,0.0787018,0.08500522,0.1451045,0.14438574,91
3782,Accounting,Price,False,False,False,-0.015499462,-0.01247441,0.093587875,0.11657957,91
3783,Accounting,Price,False,False,False,-0.0069076237,-0.01206219,0.10345207,0.11673093,91
3784,Accounting,Accounting,True,False,False,0.07315697,0.07046241,0.122904055,0.16331063,91
3785,Accounting,Accounting,True,False,False,0.08569576,0.096842095,0.122171715,0.16440788,91
3786,Accounting,Accounting,True,False,False,-0.04351301,-0.036535915,0.0958288,0.13106789,91
3787,Accounting,Accounting,True,False,False,-0.028354099,-0.020997392,0.10137294,0.0,91
3788,Accounting,Trading,False,False,False,-0.085299075,-0.080606446,0.07946855,0.12831308,91
3789,Accounting,Trading,False,False,False,-0.034806952,-0.022375077,0.08917682,0.14285383,86
3790,Accounting,Price,False,False,False,-0.019360231,-0.02205415,0.12049174,0.11226646,91
3791,Accounting,Accounting,True,False,False,0.20057355,0.18351004,0.13334319,0.0,91
3792,Accounting,Accounting,True,False,False,-0.033793055,-0.040964574,0.11761307,0.116904445,91
3793,Accounting,Accounting,True,False,False,-0.035151135,-0.024466347,0.08410446,0.15325893,91
3794,Accounting,Accounting,True,False,False,-0.022983663,-0.025574958,0.12325678,0.10779615,91
3795,Accounting,Price,False,False,False,0.020450396,0.022524621,0.1267891,0.1360742,90
3796,Accounting,Trading,False,False,False,-0.0136577785,-0.005392467,0.08080486,0.13761581,91
3797,Accounting,Trading,False,False,False,-0.007373984,-0.0072743637,0.12940823,0.118168645,91
3798,Accounting,Accounting,True,False,False,-0.011367488,-0.009450505,0.1099104,0.12746356,91
3799,Accounting,Trading,False,False,False,0.022997351,0.011625076,0.11362363,0.0,91
3800,Accounting,Trading,False,False,False,0.0043915845,1.3277802e-05,0.04535906,0.0,91
3801,Accounting,Trading,False,False,False,0.021446938,0.008085415,0.09734468,0.0,91
3802,Other,Other,True,True,False,0.87115264,0.8739113,0.5035611,0.6118695,92
3803,Other,Other,True,True,False,0.8754205,0.880126,0.54422766,0.558477,92
3804,Other,Price,False,False,False,-0.022822626,-0.02517413,0.11466778,0.09998871,92
3805,Other,Price,False,False,False,-0.014823951,-0.012542544,0.12235184,0.10910275,92
3806,Other,Price,False,False,False,-0.014823951,-0.012542544,0.12235184,0.10910275,92
3807,Other,Trading,False,False,False,0.0069969483,0.0029325802,0.10774821,0.1059128,92
3808,Other,Event,False,False,False,-0.023916451,-0.028855354,0.0,0.010855704,89
3809,Other,Price,False,False,False,0.04351956,0.030997086,0.12056389,0.13543144,92
3810,Other,Price,False,False,False,-0.0031090982,-0.0072485404,0.11082135,0.104866974,92
3811,Other,Accounting,False,False,False,-0.016847268,-0.0207901,0.103184365,0.105437525,92
3812,Other,Accounting,False,False,False,0.03823717,0.03978753,0.09827431,0.10817977,91
3813,Other,Accounting,False,False,False,-0.008881007,-0.005137326,0.10014664,0.110339575,91
3814,Other,Accounting,False,False,False,0.09922115,0.094752096,0.20689566,0.1348831,92
3815,Other,Price,False,False,False,0.025037209,0.025885865,0.11136956,0.1176436,92
3816,Other,Price,False,False,False,-0.019099196,-0.018162537,0.1155376,0.10436673,92
3817,Other,Accounting,False,False,False,0.026979836,0.022557117,0.12085923,0.113945596,68
3818,Other,Price,False,False,False,-0.0012493489,-0.013510432,0.11300457,0.10425065,92
3819,Other,Price,False,False,False,0.0012921027,-0.006727417,0.1120285,0.1040753,92
3820,Other,Price,False,False,False,-0.00058284623,-0.007354918,0.10949815,0.10618691,92
3821,Other,Price,False,False,False,0.008431059,0.017338533,0.1204778,0.10706912,92
3822,Other,Price,False,False,False,6.158702e-05,-0.004390002,0.115051314,0.111955725,92
3823,Other,Price,False,False,False,0.0053815986,-0.0010466871,0.109873824,0.11110712,92
3824,Other,Price,False,False,False,-0.004680794,-0.0032122666,0.10733193,0.106898405,92
3825,Other,Price,False,False,False,-0.0021788147,-0.0006441657,0.11063628,0.10651688,92
3826,Other,Price,False,False,False,-0.0023125925,-0.0005303328,0.11012996,0.10855632,92
3827,Other,Price,False,False,False,-0.0010712695,-0.0023061684,0.11060969,0.10675149,92
3828,Other,Price,False,False,False,-0.0056988304,-0.017835703,0.11559038,0.10383828,92
3829,Other,Price,False,False,False,0.001832229,0.008772583,0.11035736,0.10872664,92
3830,Other,Accounting,False,False,False,-0.017460637,-0.014611663,0.100203775,0.11261967,92
3831,Other,Accounting,False,False,False,-0.013042041,-0.014996377,0.09199241,0.07781505,91
3832,Other,Accounting,False,False,False,0.1665841,0.16649084,0.2136518,0.14973755,92
3833,Other,Accounting,False,False,False,0.037249308,0.03763936,0.090004206,0.087892435,92
3834,Other,Accounting,False,False,False,-0.09905444,-0.09933694,0.0771981,0.09682695,92
3835,Other,Accounting,False,False,False,-0.074629985,-0.07621209,0.08306533,0.101204336,92
3836,Other,Accounting,False,False,False,-0.03146436,-0.032249074,0.086389504,0.11607377,92
3837,Other,Accounting,False,False,False,0.004272243,0.003336671,0.09627,0.11814759,92
3838,Other,Accounting,False,False,False,-0.039019328,-0.037122566,0.09117483,0.119316876,92
3839,Other,Accounting,False,False,False,-0.06810276,-0.067249954,0.115745544,0.08473438,92
3840,Other,Accounting,False,False,False,-0.04895348,-0.055149093,0.11949703,0.08912438,92
3841,Other,Price,False,False,False,0.02481719,0.022319535,0.11888128,0.09488699,92
3842,Other,Price,False,False,False,-0.011702204,-0.004576112,0.11184872,0.10648049,92
3843,Other,Price,False,False,False,-0.024117768,-0.02813159,0.10621219,0.1124528,92
3844,Other,Price,False,False,False,-0.024246754,-0.02942612,0.10591393,0.11303454,92
